model,pollutant,interaction,order_p,order_d,order_q,cv_r2_mean,cv_mae_mean,cv_rmse_mean,cv_mape_mean,cv_r2_std,cv_mae_std,cv_rmse_std,cv_mape_std,test_r2,test_mae,test_rmse,test_mape
ARMAX,Ozone,baseline,0,0,0,0.5817663693596093,0.006537817433529129,0.008407926721319762,21.728152440701994,0.07208212775365247,0.00022241907688811077,0.0002866981379469742,1.9917907290854617,0.46728310134716533,0.006769366742143627,0.008761757792566964,18.062210371090966
ARIMAX,Ozone,baseline,0,0,0,0.5817663693596093,0.006537817433529129,0.008407926721319762,21.728152440701994,0.07208212775365247,0.00022241907688811077,0.0002866981379469742,1.9917907290854617,0.46728310134716533,0.006769366742143627,0.008761757792566964,18.062210371090966
ARMAX,NO2,baseline,0,0,0,0.23969600715814643,8.733508958869809,11.165671559062295,28.101270197032836,0.06073969149365811,0.7046878050592731,1.0160651807067893,1.9981659936408656,0.20609899121512998,8.210392925796988,10.413507120241587,28.723819189411397
ARIMAX,NO2,baseline,0,0,0,0.23969600715814643,8.733508958869809,11.165671559062295,28.101270197032836,0.06073969149365811,0.7046878050592731,1.0160651807067893,1.9981659936408656,0.20609899121512998,8.210392925796988,10.413507120241587,28.723819189411397
ARMAX,PM2.5,baseline,1,0,0,0.18219012016752506,3.3679717219088303,4.364129600844361,44.95167218233373,0.08499614781461405,0.47250474072635495,0.5772859156334333,8.018896719312396,-0.008934660808631145,4.682200951776663,12.995737224296695,39.916532054114036
ARIMAX,PM2.5,baseline,1,0,0,0.18219012016752506,3.3679717219088303,4.364129600844361,44.95167218233373,0.08499614781461405,0.47250474072635495,0.5772859156334333,8.018896719312396,-0.008934660808631145,4.682200951776663,12.995737224296695,39.916532054114036
ARMAX,CO,baseline,2,0,3,0.021794156128864418,0.15379366106135248,0.19858605047098019,41.014488055292276,0.05374326943476863,0.03428683579939884,0.03247373389575267,15.545726679755012,0.10648522926382364,0.13191731580318763,0.19070134001583558,30.29453078383737
ARIMAX,CO,baseline,1,1,1,0.05211509677732131,0.14781865891538543,0.19590136264961372,37.961405527389346,0.1448757525456867,0.03673887721333349,0.039474307080770675,14.5254058668413,-0.9871974442124909,0.2463080027642411,0.2843959363493435,67.52091443858279
ARMAX,Ozone,int_traffic_humidity,0,0,2,0.5805844943079789,0.006528933240662482,0.008436083973118238,21.90663638039573,0.057994311247730385,0.00014881367591291518,0.00024476862496520933,1.718559971850226,0.4819434595269416,0.006694687239287604,0.008640355017289426,17.959173487717365
ARIMAX,Ozone,int_traffic_humidity,0,0,2,0.5805844943079789,0.006528933240662482,0.008436083973118238,21.90663638039573,0.057994311247730385,0.00014881367591291518,0.00024476862496520933,1.718559971850226,0.4819434595269416,0.006694687239287604,0.008640355017289426,17.959173487717365
ARMAX,NO2,int_traffic_humidity,0,0,0,0.23623505316660093,8.756540744938553,11.19315048824652,28.23060953062252,0.06120222352014405,0.7205453706322095,1.046992853730795,2.1422286273679494,0.20768729334127967,8.188993114527435,10.40308511793612,28.60622047159096
ARIMAX,NO2,int_traffic_humidity,0,0,0,0.23623505316660093,8.756540744938553,11.19315048824652,28.23060953062252,0.06120222352014405,0.7205453706322095,1.046992853730795,2.1422286273679494,0.20768729334127967,8.188993114527435,10.40308511793612,28.60622047159096
ARMAX,PM2.5,int_traffic_humidity,0,0,1,0.17752693422302654,3.362326380935902,4.380258588370806,44.412638877329854,0.07388457857304825,0.5052015359746166,0.588975701591897,7.873986932749039,-0.031094639581505046,4.742254749601965,13.137679559481404,39.03235860641489
ARIMAX,PM2.5,int_traffic_humidity,0,0,1,0.17752693422302654,3.362326380935902,4.380258588370806,44.412638877329854,0.07388457857304825,0.5052015359746166,0.588975701591897,7.873986932749039,-0.031094639581505046,4.742254749601965,13.137679559481404,39.03235860641489
ARMAX,CO,int_traffic_humidity,1,0,0,0.013858982525545627,0.15471735084408536,0.19916327853193136,41.28626749809219,0.05374793785306219,0.03315859357616311,0.030619169438254046,15.326762367497398,0.05659831508291113,0.13771129473862942,0.1959526767534846,31.74688663078654
ARIMAX,CO,int_traffic_humidity,0,1,3,0.024249123257467996,0.15004555676100953,0.19829531231839176,38.55748822858195,0.21447478582810095,0.03669257671213468,0.041331449643950295,14.134958118133959,-1.4656399584208484,0.27690468703367144,0.31678725918648004,76.38537856426932
ARMAX,Ozone,int_traffic_precip,0,0,0,0.5784200444497649,0.006568146837797354,0.008443646855254311,22.011357488018994,0.07124914940009953,0.00021048698795562862,0.0002975439544120026,1.928845055395737,0.46289372295301556,0.006794890034559262,0.008797780466204,18.102623622090203
ARIMAX,Ozone,int_traffic_precip,0,0,0,0.5784200444497649,0.006568146837797354,0.008443646855254311,22.011357488018994,0.07124914940009953,0.00021048698795562862,0.0002975439544120026,1.928845055395737,0.46289372295301556,0.006794890034559262,0.008797780466204,18.102623622090203
ARMAX,NO2,int_traffic_precip,0,0,0,0.23068830206533106,8.811319177205153,11.240957019146014,28.40094670261625,0.05385250070455637,0.8021514625143265,1.1095879750506963,2.5152886443163163,0.201875426224005,8.257417787538506,10.441170381984012,28.827851464253758
ARIMAX,NO2,int_traffic_precip,0,0,0,0.23068830206533106,8.811319177205153,11.240957019146014,28.40094670261625,0.05385250070455637,0.8021514625143265,1.1095879750506963,2.5152886443163163,0.201875426224005,8.257417787538506,10.441170381984012,28.827851464253758
ARMAX,PM2.5,int_traffic_precip,0,0,1,0.17543044466034746,3.379677088170947,4.389179874358567,44.84292059924479,0.06628721746822054,0.511799133931547,0.6122333709253799,8.314402304250727,-0.028526164518417163,4.722787445535564,13.121306260001397,38.84213605109076
ARIMAX,PM2.5,int_traffic_precip,0,0,1,0.17543044466034746,3.379677088170947,4.389179874358567,44.84292059924479,0.06628721746822054,0.511799133931547,0.6122333709253799,8.314402304250727,-0.028526164518417163,4.722787445535564,13.121306260001397,38.84213605109076
ARMAX,CO,int_traffic_precip,1,0,0,0.024650448774235455,0.15298151916435396,0.19780358876101262,40.51098732189543,0.05442721078453414,0.031021689998665506,0.02846089286508241,14.394079985462206,0.05122276330443443,0.13732809736627494,0.19651015800488522,31.658023652042257
ARIMAX,CO,int_traffic_precip,1,1,1,0.04360319684691753,0.14801748849724755,0.19672979964621704,37.74008561214291,0.15903430765342136,0.03834336474776048,0.04062389821956936,15.072329299604137,-0.948759272469605,0.24396829638781659,0.28163198354880237,66.87332773486774
ARMAX,Ozone,int_traffic_wind,0,0,2,0.5876535426176372,0.00647324021506776,0.00836696410135629,21.747938674419647,0.05335530006231301,0.000151870527171857,0.0001759019533457325,1.8808626264123272,0.4821909351974747,0.00668720827163772,0.008638291021461403,17.935359333950597
ARIMAX,Ozone,int_traffic_wind,0,0,2,0.5876535426176372,0.00647324021506776,0.00836696410135629,21.747938674419647,0.05335530006231301,0.000151870527171857,0.0001759019533457325,1.8808626264123272,0.4821909351974747,0.00668720827163772,0.008638291021461403,17.935359333950597
ARMAX,NO2,int_traffic_wind,0,0,0,0.23087493780087281,8.78127859613372,11.2352485960742,28.238233546470973,0.06685119882102755,0.7914611114633234,1.11920573181059,2.2308056877809483,0.2096164183722521,8.170094900327042,10.390412670208674,28.57502887291047
ARIMAX,NO2,int_traffic_wind,0,0,0,0.23087493780087281,8.78127859613372,11.2352485960742,28.238233546470973,0.06685119882102755,0.7914611114633234,1.11920573181059,2.2308056877809483,0.2096164183722521,8.170094900327042,10.390412670208674,28.57502887291047
ARMAX,PM2.5,int_traffic_wind,0,0,1,0.18296547895895562,3.381157624255471,4.368389613051204,45.42964395340706,0.0633284863649691,0.510284168926405,0.6007127342795876,7.546566231652781,-0.028981546779601297,4.7150803356146325,13.124210682408155,39.07955389146301
ARIMAX,PM2.5,int_traffic_wind,0,0,1,0.18296547895895562,3.381157624255471,4.368389613051204,45.42964395340706,0.0633284863649691,0.510284168926405,0.6007127342795876,7.546566231652781,-0.028981546779601297,4.7150803356146325,13.124210682408155,39.07955389146301
ARMAX,CO,int_traffic_wind,0,0,1,0.014041100644139503,0.15380470025547446,0.19925471404495163,41.07064019810012,0.054592703284260954,0.03433004031563698,0.03187327999601502,15.72824047882784,0.09568022275625476,0.13173721203799318,0.19185092216543928,30.0993067523361
ARIMAX,CO,int_traffic_wind,1,1,1,0.026579681933946598,0.1495687797329221,0.1984284089866016,38.32768560080026,0.16476057848433334,0.03993873450421039,0.04107199853130591,15.996245810929116,-1.2279579864975312,0.2622331130254473,0.301131630090164,72.25166693266941
ARMAX,Ozone,int_traffic_temp,0,0,0,0.5757250424760296,0.006597526357851591,0.00846172178640652,21.916624015216556,0.08042099489330944,0.00022636489598877707,0.00038852810838683354,1.7689430534199162,0.47295955962935055,0.006713064685304046,0.00871495154767985,17.931053296734582
ARIMAX,Ozone,int_traffic_temp,0,0,0,0.5757250424760296,0.006597526357851591,0.00846172178640652,21.916624015216556,0.08042099489330944,0.00022636489598877707,0.00038852810838683354,1.7689430534199162,0.47295955962935055,0.006713064685304046,0.00871495154767985,17.931053296734582
ARMAX,NO2,int_traffic_temp,0,0,0,0.2474169951099734,8.694027464378141,11.115034478840203,28.043220371502617,0.054040882132163945,0.7230389341052008,1.0601186930597448,2.1590104061646094,0.21688355213345523,8.132561063298722,10.342535356194405,28.410113566365304
ARIMAX,NO2,int_traffic_temp,0,0,0,0.2474169951099734,8.694027464378141,11.115034478840203,28.043220371502617,0.054040882132163945,0.7230389341052008,1.0601186930597448,2.1590104061646094,0.21688355213345523,8.132561063298722,10.342535356194405,28.410113566365304
ARMAX,PM2.5,int_traffic_temp,0,0,1,0.18430418296575218,3.3394394648324974,4.357390440471643,44.12605817448292,0.10201476688415095,0.5162766793486624,0.6069482509731134,8.686674498774915,-0.014434193773626314,4.612298447640002,13.031107877711158,37.6089453131955
ARIMAX,PM2.5,int_traffic_temp,0,0,1,0.18430418296575218,3.3394394648324974,4.357390440471643,44.12605817448292,0.10201476688415095,0.5162766793486624,0.6069482509731134,8.686674498774915,-0.014434193773626314,4.612298447640002,13.031107877711158,37.6089453131955
ARMAX,CO,int_traffic_temp,1,0,1,0.036139666243808356,0.15277614775376502,0.19700064961813774,40.8686246094811,0.04682710067352654,0.03231920072282432,0.030929120414859887,14.859140443464005,0.04501808478744285,0.13843535494440412,0.19715166550418592,31.872182565223326
ARIMAX,CO,int_traffic_temp,1,0,1,0.036139666243808356,0.15277614775376502,0.19700064961813774,40.8686246094811,0.04682710067352654,0.03231920072282432,0.030929120414859887,14.859140443464005,0.04501808478744285,0.13843535494440412,0.19715166550418592,31.872182565223326
